127.0.0.1 - - [20/Sep/2016:18:28:25 -0400] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Sep/2016:18:30:06 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
153.104.25.123 - - [20/Sep/2016:18:30:13 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [20/Sep/2016:18:34:07 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [20/Sep/2016:18:37:07 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [20/Sep/2016:18:39:04 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
153.104.25.123 - - [20/Sep/2016:18:43:09 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
153.104.25.123 - - [20/Sep/2016:18:44:02 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [20/Sep/2016:18:44:11 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
153.104.25.123 - - [20/Sep/2016:18:44:46 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
153.104.25.123 - - [20/Sep/2016:18:45:39 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
153.104.25.123 - - [20/Sep/2016:18:46:29 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
153.104.25.123 - - [20/Sep/2016:18:47:09 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [20/Sep/2016:18:47:57 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
153.104.25.123 - - [20/Sep/2016:18:48:04 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
153.104.25.123 - - [20/Sep/2016:18:48:49 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
153.104.25.123 - - [20/Sep/2016:18:49:45 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
153.104.25.123 - - [20/Sep/2016:18:50:53 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [20/Sep/2016:18:53:08 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [20/Sep/2016:18:58:54 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
153.104.25.123 - - [20/Sep/2016:18:59:04 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
153.104.25.123 - - [20/Sep/2016:19:00:11 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
153.104.25.123 - - [20/Sep/2016:19:15:18 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
153.104.25.123 - - [20/Sep/2016:19:16:39 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
153.104.25.123 - - [20/Sep/2016:19:17:55 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
153.104.25.123 - - [20/Sep/2016:19:19:29 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [20/Sep/2016:19:19:58 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
153.104.25.123 - - [20/Sep/2016:19:20:10 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
